AmbulanceR;BikeInjury;CrashID;CrashYear;SpeedLimit;TraffCntrl;Weather
Yes;C: Possible Injury;102002759;2007;Unknown;No Control Present;Clear
No;B: Suspected Minor Injury;102002848;2007;30 - 35  MPH;Double Yellow Line; No Passing Zone
Yes;C: Possible Injury;102002860;2007;20 - 25  MPH;No Control Present;Clear
Yes;A: Suspected Serious Injury;102002933;2007;30 - 35  MPH;Stop Sign;Clear
No;Unknown Injury;102003018;2007;20 - 25  MPH;No Control Present;Clear
Yes;C: Possible Injury;102003127;2007;20 - 25  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102003420;2007;40 - 45  MPH;No Control Present;Clear
Yes;C: Possible Injury;102003510;2007;30 - 35  MPH;No Control Present;Clear
Yes;Unknown Injury;102004322;2007;30 - 35  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102004716;2007;30 - 35  MPH;Stop Sign;Clear
Yes;Unknown Injury;102004886;2007;30 - 35  MPH;Stop And Go Signal;Clear
No;C: Possible Injury;102005547;2007;Unknown;No Control Present;Clear
No;O: No Injury;102005587;2007;30 - 35  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102005864;2007;30 - 35  MPH;Stop And Go Signal;Clear
Yes;B: Suspected Minor Injury;102005982;2007;5 - 15 MPH;No Control Present;Clear
No;C: Possible Injury;102006169;2007;30 - 35  MPH;Stop And Go Signal;Clear
No;C: Possible Injury;102006234;2007;30 - 35  MPH;No Control Present;Clear
No;Unknown Injury;102006305;2007;40 - 45  MPH;Stop And Go Signal;Clear
Yes;A: Suspected Serious Injury;102007152;2007;40 - 45  MPH;Stop And Go Signal;Clear
Yes;B: Suspected Minor Injury;102007518;2007;40 - 45  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102007647;2007;30 - 35  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;102007857;2007;30 - 35  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;102007951;2007;30 - 35  MPH;Stop And Go Signal;Clear
No;C: Possible Injury;102008807;2007;30 - 35  MPH;Stop Sign;Clear
Yes;C: Possible Injury;102008814;2007;40 - 45  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;102008912;2007;30 - 35  MPH;Stop Sign;Clear
No;C: Possible Injury;102008973;2007;40 - 45  MPH;No Control Present;Cloudy
Yes;K: Killed;102009007;2007;50 - 55  MPH;No Control Present;Fog
No;C: Possible Injury;102009100;2007;30 - 35  MPH;Stop Sign;Clear
No;B: Suspected Minor Injury;102009710;2007;20 - 25  MPH;Stop Sign;Clear
Yes;C: Possible Injury;102010296;2007;40 - 45  MPH;No Control Present;Clear
No;B: Suspected Minor Injury;102010360;2007;5 - 15 MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102010605;2007;20 - 25  MPH;Stop Sign;Clear
Yes;C: Possible Injury;102010699;2007;30 - 35  MPH;Stop And Go Signal;Clear
No;O: No Injury;102011237;2007;20 - 25  MPH;No Control Present;Clear
No;C: Possible Injury;102011587;2007;30 - 35  MPH;No Control Present;Rain
Yes;A: Suspected Serious Injury;102012610;2007;50 - 55  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102012848;2007;30 - 35  MPH;No Control Present;Clear
No;O: No Injury;102013212;2007;20 - 25  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102013506;2007;30 - 35  MPH;No Control Present;Clear
Yes;C: Possible Injury;102013589;2007;30 - 35  MPH;Stop Sign;Clear
Yes;A: Suspected Serious Injury;102013606;2007;40 - 45  MPH;No Control Present;Clear
Yes;C: Possible Injury;102013726;2007;40 - 45  MPH;Stop Sign;Clear
No;C: Possible Injury;102013761;2007;50 - 55  MPH;No Control Present;Clear
Yes;C: Possible Injury;102013839;2007;30 - 35  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102014237;2007;30 - 35  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102014785;2007;40 - 45  MPH;Stop And Go Signal;Other
Yes;B: Suspected Minor Injury;102015160;2007;30 - 35  MPH;No Control Present;Clear
Yes;C: Possible Injury;102015710;2007;20 - 25  MPH;No Control Present;Clear
Yes;C: Possible Injury;102015915;2007;30 - 35  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102016389;2007;40 - 45  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102016810;2007;20 - 25  MPH;No Control Present;Rain
Yes;C: Possible Injury;102017546;2007;30 - 35  MPH;No Control Present;Clear
No;Unknown Injury;102017869;2007;50 - 55  MPH;Double Yellow Line; No Passing Zone
Yes;C: Possible Injury;102018132;2007;Unknown;No Control Present;Clear
Yes;B: Suspected Minor Injury;102018423;2007;30 - 35  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;102018906;2007;30 - 35  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;102019053;2007;5 - 15 MPH;No Control Present;Clear
No;O: No Injury;102020489;2007;50 - 55  MPH;Double Yellow Line; No Passing Zone
Yes;B: Suspected Minor Injury;102020588;2007;30 - 35  MPH;No Control Present;Clear
No;C: Possible Injury;102020751;2007;Unknown;No Control Present;Clear
Yes;B: Suspected Minor Injury;102020977;2007;50 - 55  MPH;No Control Present;Clear
No;O: No Injury;102021034;2007;30 - 35  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102021149;2007;50 - 55  MPH;No Control Present;Clear
Yes;O: No Injury;102021422;2007;5 - 15 MPH;Stop Sign;Clear
No;O: No Injury;102021481;2007;30 - 35  MPH;No Control Present;Clear
No;C: Possible Injury;102021487;2007;40 - 45  MPH;No Control Present;Clear
Yes;C: Possible Injury;102022064;2007;40 - 45  MPH;No Control Present;Clear
No;B: Suspected Minor Injury;102022290;2007;40 - 45  MPH;Stop Sign;Clear
Yes;C: Possible Injury;102022528;2007;5 - 15 MPH;No Control Present;Clear
Yes;C: Possible Injury;102022697;2007;40 - 45  MPH;No Control Present;Clear
No;C: Possible Injury;102022741;2007;20 - 25  MPH;No Control Present;Clear
No;B: Suspected Minor Injury;102022950;2007;30 - 35  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102023039;2007;50 - 55  MPH;Double Yellow Line; No Passing Zone
No;C: Possible Injury;102023272;2007;30 - 35  MPH;No Control Present;Clear
No;B: Suspected Minor Injury;102024291;2007;40 - 45  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;102024425;2007;30 - 35  MPH;No Control Present;Clear
Yes;C: Possible Injury;102024456;2007;20 - 25  MPH;Stop Sign;Clear
No;B: Suspected Minor Injury;102024518;2007;Unknown;Stop And Go Signal;Clear
Yes;A: Suspected Serious Injury;102024566;2007;30 - 35  MPH;Stop Sign;Clear
Yes;C: Possible Injury;102025071;2007;20 - 25  MPH;Stop Sign;Clear
Yes;C: Possible Injury;102025114;2007;30 - 35  MPH;No Control Present;Clear
Yes;A: Suspected Serious Injury;102025633;2007;30 - 35  MPH;Stop Sign;Clear
Yes;C: Possible Injury;102026025;2007;5 - 15 MPH;No Control Present;Clear
No;B: Suspected Minor Injury;102026330;2007;40 - 45  MPH;No Control Present;Clear
Yes;C: Possible Injury;102026378;2007;30 - 35  MPH;Stop Sign;Clear
Yes;C: Possible Injury;102026452;2007;5 - 15 MPH;No Control Present;Cloudy
Yes;O: No Injury;102026695;2007;5 - 15 MPH;No Control Present;Clear
Yes;C: Possible Injury;102027401;2007;40 - 45  MPH;Stop Sign;Clear
No;O: No Injury;102027437;2007;30 - 35  MPH;Stop And Go Signal;Clear
No;C: Possible Injury;102027665;2007;30 - 35  MPH;No Control Present;Clear
No;O: No Injury;102027862;2007;20 - 25  MPH;Stop Sign;Clear
Yes;C: Possible Injury;102027982;2007;30 - 35  MPH;Stop And Go Signal;Clear
No;C: Possible Injury;102028774;2007;30 - 35  MPH;Stop And Go Signal;Clear
No;O: No Injury;102028877;2007;40 - 45  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;102029888;2007;40 - 45  MPH;No Control Present;Cloudy
Yes;B: Suspected Minor Injury;102030195;2007;40 - 45  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102030352;2007;40 - 45  MPH;No Control Present;Clear
Yes;A: Suspected Serious Injury;102030357;2007;40 - 45  MPH;Double Yellow Line; No Passing Zone
No;C: Possible Injury;102030656;2007;40 - 45  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102030754;2007;30 - 35  MPH;No Control Present;Cloudy
Yes;B: Suspected Minor Injury;102031234;2007;30 - 35  MPH;Stop Sign;Clear
Yes;B: Suspected Minor Injury;102031450;2007;20 - 25  MPH;Stop Sign;Cloudy
Yes;B: Suspected Minor Injury;102032504;2007;20 - 25  MPH;Stop Sign;Clear
Yes;C: Possible Injury;102032792;2007;40 - 45  MPH;Double Yellow Line; No Passing Zone
No;O: No Injury;102032872;2007;30 - 35  MPH;No Control Present;Clear
No;C: Possible Injury;102033423;2007;30 - 35  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102033716;2007;50 - 55  MPH;Stop And Go Signal;Cloudy
Yes;A: Suspected Serious Injury;102033774;2007;50 - 55  MPH;Double Yellow Line; No Passing Zone
Yes;A: Suspected Serious Injury;102033890;2007;30 - 35  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102034286;2007;30 - 35  MPH;No Control Present;Cloudy
Yes;C: Possible Injury;102034859;2007;20 - 25  MPH;Stop And Go Signal;Clear
Yes;B: Suspected Minor Injury;102035196;2007;50 - 55  MPH;Double Yellow Line; No Passing Zone
Yes;B: Suspected Minor Injury;102035222;2007;40 - 45  MPH;No Control Present;Clear
No;O: No Injury;102035299;2007;30 - 35  MPH;No Control Present;Clear
No;C: Possible Injury;102035526;2007;20 - 25  MPH;No Control Present;Clear
No;O: No Injury;102035533;2007;30 - 35  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102035607;2007;40 - 45  MPH;No Control Present;Clear
Yes;C: Possible Injury;102036174;2007;40 - 45  MPH;No Control Present;Clear
No;C: Possible Injury;102036266;2007;30 - 35  MPH;Stop And Go Signal;Clear
Yes;C: Possible Injury;102036421;2007;30 - 35  MPH;No Control Present;Clear
Yes;A: Suspected Serious Injury;102036826;2007;30 - 35  MPH;No Control Present;Clear
Yes;C: Possible Injury;102037240;2007;30 - 35  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102037433;2007;40 - 45  MPH;No Control Present;Clear
Yes;A: Suspected Serious Injury;102038331;2007;30 - 35  MPH;No Control Present;Clear
Yes;C: Possible Injury;102038651;2007;40 - 45  MPH;Stop And Go Signal;Clear
Yes;C: Possible Injury;102038747;2007;40 - 45  MPH;No Control Present;Clear
No;C: Possible Injury;102039069;2007;30 - 35  MPH;Stop Sign;Clear
No;C: Possible Injury;102039954;2007;20 - 25  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102040045;2007;30 - 35  MPH;Double Yellow Line; No Passing Zone
Yes;B: Suspected Minor Injury;102040101;2007;20 - 25  MPH;No Control Present;Clear
No;B: Suspected Minor Injury;102040399;2007;50 - 55  MPH;No Control Present;Clear
Yes;C: Possible Injury;102040493;2007;Unknown;No Control Present;Clear
No;B: Suspected Minor Injury;102040509;2007;50 - 55  MPH;Double Yellow Line; No Passing Zone
No;B: Suspected Minor Injury;102040844;2007;20 - 25  MPH;No Control Present;Clear
No;B: Suspected Minor Injury;102041022;2007;Unknown;Stop And Go Signal;Cloudy
Yes;B: Suspected Minor Injury;102041083;2007;30 - 35  MPH;Stop And Go Signal;Clear
Yes;B: Suspected Minor Injury;102041303;2007;30 - 35  MPH;No Control Present;Clear
Yes;A: Suspected Serious Injury;102041981;2007;40 - 45  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102042242;2007;Unknown;Stop And Go Signal;Clear
Yes;C: Possible Injury;102042336;2007;30 - 35  MPH;Stop And Go Signal;Clear
Yes;B: Suspected Minor Injury;102042405;2007;40 - 45  MPH;No Control Present;Clear
Yes;B: Suspected Minor Injury;102043004;2007;30 - 35  MPH;Stop Sign;Clear
Yes;C: Possible Injury;102043762;2007;20 - 25  MPH;Stop Sign;Clear
Yes;C: Possible Injury;102043796;2007;20 - 25  MPH;No Control Present;Clear
